brand_name,2026-01-04,2026-01-11,2026-01-18,2026-01-25,2026-02-01,2026-02-08,2026-02-15,2026-02-22,2026-03-01,2026-03-08,2026-03-15,2026-03-22,2026-03-29,2026-04-05,2026-04-12,total
APUESTAS ROYAL,52840.00,46390.00,2984.00,75366.00,60868.00,142230.00,287100.00,600319.00,666241.00,809014.00,885121.00,611937.00,602278.00,428624.00,828723.00,6100035.00
BETANO,18709648.00,65687518.13,57470020.54,70909166.85,71429687.74,95799770.51,52535173.88,81527718.24,58095455.44,89777603.70,73990822.25,100364920.97,87340222.44,90602460.71,73255883.08,1087496072.48
BETSSON,254440.00,603912.00,718265.66,721450.85,849407.40,951341.74,159871.34,148538.00,141445.00,362672.00,691251.00,282383.00,152993.00,58820.00,465462.00,6562252.99
COOLBET,4668421.20,8749527.54,11414686.04,12031761.59,8830508.99,11159640.98,8984652.40,7975496.60,29656252.23,20984077.32,20767617.31,26732357.15,39742915.05,45912070.32,31587398.20,289197382.93
EPICBET,0.00,46575096.00,54583443.00,46135852.00,32195214.00,113889462.00,22012768.00,43947212.00,16629960.00,10885870.00,9934523.00,2784418.00,7205201.00,873288.00,860904.00,408513211.00
JUEGA EN LINEA,41778.00,39798.00,62469.00,60192.00,47421.00,79893.00,149269.71,62271.00,77616.00,100150.79,89904.79,29997.00,0.00,58752.47,7337.32,906850.09
JUGABET,7609232.65,9041815.67,28299107.22,68997833.96,37372895.26,55694315.28,11976544.38,69011257.28,22905609.89,12334293.36,9160115.79,12044027.00,8583650.94,12395348.52,8867596.27,374293643.46
LATAMWIN,68655.00,557991.49,7267944.74,7263932.04,16468231.60,7270071.52,7197912.99,6641029.44,3278874.30,14918576.99,4483374.61,12596532.25,7030557.53,12348156.91,4389459.18,111781300.59
ROJABET,553013.00,691726.00,2110194.00,2633714.00,2435588.00,1992334.00,2085044.00,1773487.00,2235722.00,4084028.00,5005610.00,4243572.00,4111710.00,4629315.00,4216096.00,42801153.00
TONYBET,1059904.04,1594550.72,1506308.93,1425839.70,2536461.23,3691374.52,2893169.31,667960.29,613040.48,1034407.14,1173546.08,1500779.09,1751060.50,4502384.71,2770300.00,28721086.74
