brand_name,2026-01,2026-02,total
APUESTAS ROYAL,212054.00,1572212.00,1784266.00
BETANO,276105170.36,284599918.36,560705088.72
BETSSON,3130863.91,1374425.08,4505288.99
COOLBET,44465692.04,56535130.77,101000822.81
EPICBET,179489605.00,196295876.00,375785481.00
JUEGA EN LINEA,240867.00,362911.71,603778.71
JUGABET,148469910.40,160748703.18,309218613.58
LATAMWIN,30510878.27,25447764.86,55958643.13
ROJABET,8218091.00,8036304.00,16254395.00
TONYBET,7202928.35,8511025.70,15713954.05
